system,split,configs,num_performances,performances,sdc_avg,sdc_std,best_avg,best_std,average_avg,average_std,overall_avg,overall_std,metric_avg,metric_std,common_avg,common_std,random_avg,random_std
sqlite,1,0,1,q14,0.05114856564406729,0.04629596476905674,0.0,0.0,0.38356996299970036,0.19118357978576847,0.27581112519109713,0.38364428190976696,0.27581112519109713,0.38364428190976696,0.3095307878457562,0.382681597670385,0.42850582941064524,0.43015651958767565
sqlite,2,0,1,q14,0.03299027939977521,0.040125082310293624,0.0,0.0,0.4554592266492252,0.2302017911890195,0.40035796747880215,0.45972570902650384,0.40035796747880215,0.45972570902650384,0.43553045268655805,0.44100001808615946,0.47435239082075487,0.4357763786179853
sqlite,3,0,1,q14,0.08813836582051066,0.11140649835767602,0.0,0.0,0.33895353504146186,0.16420228777131587,0.17777040537020675,0.3272963099591104,0.17777040537020675,0.3272963099591104,0.21645869745378887,0.31395641819725395,0.38555663473223395,0.39620141097662065
sqlite,4,0,1,q14,0.07650501286819315,0.09247882255352408,0.0,0.0,0.4354373373340255,0.21935416787367967,0.35015336933674934,0.4427068501527123,0.35015336933674934,0.4427068501527123,0.38724613292672533,0.4247591616149629,0.4530335724386288,0.4220712536626385
sqlite,0,0,1,q6,0.04706816965480921,0.04479196426839266,0.0,0.0,0.3780969105419923,0.18984463055339512,0.26532575356345656,0.3819541392415797,0.26532575356345656,0.3819541392415797,0.27513673224762397,0.38050661135725866,0.4376354108888347,0.44432652802451067
sqlite,1,0,1,q6,0.053327909664268855,0.05964260218984281,0.0,0.0,0.3760819904660001,0.19304495595369325,0.28597864931344197,0.3751332221376646,0.28597864931344197,0.3751332221376646,0.2811247580484223,0.3844620087502548,0.4169980227931609,0.43065147613825516
sqlite,2,0,1,q6,0.04999367725751135,0.07944655234460532,0.0,0.0,0.45986050733257217,0.2290557623234855,0.40869170346239936,0.4603000931847794,0.40869170346239936,0.4603000931847794,0.4534140695050574,0.4290555572889435,0.470042946551947,0.4351583139826611
sqlite,3,0,1,q6,0.07011185847984322,0.06757095205619472,0.0,0.0,0.3474208418923772,0.1620176332264333,0.19308888012242517,0.3220122411281869,0.19308888012242517,0.3220122411281869,0.21468972636029768,0.3196020059998329,0.2762530702778181,0.35554410049426793
sqlite,4,0,1,q6,0.07383229884060008,0.09662504362634908,0.0,0.0,0.4335291652086056,0.22210798643951493,0.3844899406576331,0.42747774956161627,0.3844899406576331,0.42747774956161627,0.40923403801808195,0.418910592993851,0.3999000672905237,0.42525359763699433
sqlite,0,0,1,q12,0.0542181133101247,0.0473062083216323,0.0,0.0,0.3669384803024538,0.19200560820138768,0.26710848065240284,0.3680290633499096,0.26710848065240284,0.3680290633499096,0.26710848065240284,0.3680290633499096,0.2919540865941984,0.3975363137835917
sqlite,1,0,1,q12,0.039921105111518695,0.058044992561809956,0.0,0.0,0.37016003736734526,0.197629971986649,0.72945634390865,0.3854006177837993,0.72945634390865,0.3854006177837993,0.2891670321994902,0.37633528493265783,0.33437336718769367,0.40293925824732196
sqlite,2,0,1,q12,0.06968740654181106,0.1417109190958633,0.0,0.0,0.4576910184716834,0.2283056674293994,0.4376591303871629,0.43688903188373046,0.4376591303871629,0.43688903188373046,0.43078446147081545,0.4421900428230811,0.4632565779831467,0.43421199158873425
sqlite,3,0,1,q12,0.06408016633586143,0.0747170502456471,0.0,0.0,0.3392250225202509,0.16631462852717993,0.2333550251583945,0.31672752988225644,0.2333550251583945,0.31672752988225644,0.2333550251583945,0.31672752988225644,0.42658100219527195,0.4318832597295408
sqlite,4,0,1,q12,0.04001348500575097,0.06151725722572822,0.0,0.0,0.4319809286034914,0.21943682788058946,0.377887616124621,0.4268046947553375,0.377887616124621,0.4268046947553375,0.38806607046447666,0.42097374631628315,0.3966227701006873,0.4269312863589212
sqlite,0,0,1,q4,0.03558865884353737,0.03381882663839063,0.0,0.0,0.372638211434883,0.19237892197325704,0.252105065614468,0.3840628231746767,0.252105065614468,0.3840628231746767,0.3031047169674522,0.36544416484753905,0.3590671971300479,0.41665236544312684
sqlite,1,0,1,q4,0.062041010804790755,0.07959519449906526,0.0,0.0,0.38261301079928733,0.19200153820715302,0.28779950353737455,0.37755882524617207,0.28779950353737455,0.37755882524617207,0.32946198804784305,0.35718668626097666,0.31841612199898267,0.4048760756947553
sqlite,2,0,1,q4,0.04381330095812744,0.07518350052428158,0.0,0.0,0.4522011876526116,0.23319422597994655,0.4228614311120335,0.4491504435233811,0.4228614311120335,0.4491504435233811,0.467103711788854,0.4245646506748695,0.4241456131896237,0.44581541097094984
sqlite,3,0,1,q4,0.04532953331761605,0.05464115257543,0.0,0.0,0.33971692942253817,0.16771264360066243,0.7567789580646708,0.32290115778190914,0.7567789580646708,0.32290115778190914,0.24200441831187616,0.31640775534191873,0.33775986826091203,0.41144995678900514
sqlite,4,0,1,q4,0.044436752575035786,0.07053069623037185,0.0,0.0,0.4290568699428533,0.22270061571184413,0.3530382958885313,0.4382945440550193,0.3530382958885313,0.4382945440550193,0.4203056906370229,0.41276497816562135,0.3722699452229756,0.4231672406752663
sqlite,0,0,1,q15,0.1099010386442549,0.1611324869041056,0.0,0.0,0.46737003342203126,0.15773814787094095,0.37201925774870725,0.29386927912114186,0.37201925774870725,0.29386927912114186,0.6959858176561136,0.2098840455908303,0.5162976988210336,0.32006170920753163
