system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target,input_to_config_map
gcc,2,"['exec', 'ctime']",9,"[2, 26, 36, 46, 48, 54, 56, 62, 77]",3751043413.0,0.16696479271525758,0.3751134970544266,both,"{'2mm': 26, '3mm': 46, 'adi': 56, 'atax': 36, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 77, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 46, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 77, 'syrk': 54, 'trisolv': 46, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",10,"[2, 26, 36, 46, 48, 54, 56, 59, 62, 77]",3751043254.0,0.16635319199933213,0.3751134970544266,both,"{'2mm': 26, '3mm': 46, 'adi': 56, 'atax': 59, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 77, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 46, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 77, 'syrk': 54, 'trisolv': 46, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",11,"[2, 26, 36, 46, 48, 51, 54, 56, 59, 62, 77]",3751043175.0,0.16605442717938199,0.3751134970544266,both,"{'2mm': 26, '3mm': 46, 'adi': 56, 'atax': 59, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 77, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 46, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 51, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 77, 'syrk': 51, 'trisolv': 46, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",12,"[2, 26, 36, 46, 48, 51, 54, 56, 58, 59, 62, 77]",3751043148.0,0.16594898512909223,0.3751134970544266,both,"{'2mm': 26, '3mm': 46, 'adi': 56, 'atax': 59, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 77, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 46, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 51, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 77, 'syrk': 51, 'trisolv': 58, 'trmm': 54}"
gcc,2,"['exec', 'ctime']",13,"[2, 4, 26, 36, 46, 48, 51, 54, 56, 58, 59, 62, 77]",3751043148.0,0.16594898512909223,0.3751134970544266,both,"{'2mm': 26, '3mm': 46, 'adi': 56, 'atax': 59, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 77, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 46, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 51, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 77, 'syrk': 51, 'trisolv': 58, 'trmm': 54}"
gcc,3,"['exec', 'ctime', 'size']",1,[56],3751057892.0,0.22265763612266348,0.3751134970544266,both,"{'2mm': 56, '3mm': 56, 'adi': 56, 'atax': 56, 'bicg': 56, 'covariance': 56, 'durbin': 56, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 56, 'floyd-warshall': 56, 'gemm': 56, 'gemver': 56, 'gesummv': 56, 'jacobi-1d-imper': 56, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 56, 'mvt': 56, 'reg_detect': 56, 'seidel-2d': 56, 'symm': 56, 'syr2k': 56, 'syrk': 56, 'trisolv': 56, 'trmm': 56}"
gcc,3,"['exec', 'ctime', 'size']",2,"[54, 56]",3751050794.0,0.19536217599692088,0.3751134970544266,both,"{'2mm': 54, '3mm': 54, 'adi': 56, 'atax': 54, 'bicg': 56, 'covariance': 56, 'durbin': 54, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 56, 'gemver': 54, 'gesummv': 54, 'jacobi-1d-imper': 54, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 54, 'mvt': 54, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 54, 'syr2k': 54, 'syrk': 54, 'trisolv': 56, 'trmm': 54}"
gcc,3,"['exec', 'ctime', 'size']",3,"[26, 54, 56]",3751048299.0,0.18575868620933453,0.3751134970544266,both,"{'2mm': 26, '3mm': 26, 'adi': 56, 'atax': 26, 'bicg': 56, 'covariance': 56, 'durbin': 54, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 26, 'gemver': 26, 'gesummv': 54, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 26, 'syr2k': 54, 'syrk': 54, 'trisolv': 26, 'trmm': 54}"
gcc,3,"['exec', 'ctime', 'size']",4,"[2, 26, 54, 56]",3751046339.0,0.17821739190444508,0.3751134970544266,both,"{'2mm': 26, '3mm': 26, 'adi': 56, 'atax': 26, 'bicg': 56, 'covariance': 56, 'durbin': 2, 'dynprog': 56, 'fdtd-2d': 56, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 26, 'gemver': 26, 'gesummv': 54, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 56, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 26, 'trmm': 54}"
gcc,3,"['exec', 'ctime', 'size']",5,"[2, 26, 54, 56, 62]",3751045242.0,0.17400267832794222,0.3751134970544266,both,"{'2mm': 26, '3mm': 26, 'adi': 56, 'atax': 26, 'bicg': 62, 'covariance': 56, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 56, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 26, 'gemver': 62, 'gesummv': 54, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 62, 'trmm': 54}"
gcc,3,"['exec', 'ctime', 'size']",6,"[2, 26, 36, 54, 56, 62]",3751044368.0,0.1706422180047366,0.3751134970544266,both,"{'2mm': 26, '3mm': 26, 'adi': 56, 'atax': 36, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 62, 'gesummv': 54, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 62, 'trmm': 54}"
gcc,3,"['exec', 'ctime', 'size']",7,"[2, 26, 36, 48, 54, 56, 62]",3751044133.0,0.169737240629171,0.3751134970544266,both,"{'2mm': 26, '3mm': 26, 'adi': 56, 'atax': 36, 'bicg': 62, 'covariance': 36, 'durbin': 2, 'dynprog': 62, 'fdtd-2d': 36, 'fdtd-apml': 54, 'floyd-warshall': 54, 'gemm': 36, 'gemver': 62, 'gesummv': 48, 'jacobi-1d-imper': 26, 'jacobi-2d-imper': 62, 'lu': 56, 'ludcmp': 54, 'mvt': 26, 'reg_detect': 54, 'seidel-2d': 56, 'symm': 2, 'syr2k': 54, 'syrk': 54, 'trisolv': 62, 'trmm': 54}"
