system,split,configs,num_performances,performances,tree_depth,tree_leaves,sdc_num_configs,sdc_avg,sdc_std,best_avg,best_std,best_num_configs,average_avg,average_std,overall_avg,overall_std,metric_avg,metric_std
sqlite,0,0,1,q13,3.3333333333333335,474,0.38,0.02953447186950668,0.04893442440406912,0.0,0.0,0.22,1.1878195705936738,0.2709218866479536,0.4344868317792745,0.7996346354325015,0.4344868317792745,0.7996346354325015
sqlite,1,0,1,q13,2.8333333333333335,484,0.38,0.046059543223842626,0.07934282082722256,0.0,0.0,0.3,1.2082418069921057,0.269802023487226,0.44581511003463953,0.8139825699001174,0.44581511003463953,0.8139825699001174
sqlite,2,0,1,q13,2.8333333333333335,482,0.42,0.03470537983233782,0.08530877869329812,0.0,0.0,0.22,1.31941464841036,0.3242097386888081,0.8056703261721192,0.9685678747222861,0.8056703261721192,0.9685678747222861
sqlite,3,0,1,q13,2.5,440,0.38,0.051326706699431804,0.07165284473314278,0.0,0.0,0.2,1.1568945489073454,0.22693112334267074,0.2979374123652157,0.6770350441983449,0.2979374123652157,0.6770350441983449
sqlite,4,0,1,q13,3.0,491,0.4,0.07358086958051345,0.14525112078197516,0.0,0.0,0.24,1.2870131417118542,0.30196096201146977,0.6865631306054816,0.9097739951684028,0.6865631306054816,0.9097739951684028
sqlite,0,0,1,q5,3.1666666666666665,523,0.62,0.3370979270005145,0.31647372818391545,0.0,0.0,0.36,1.5399390008625167,0.4429734928207262,1.1091444118938365,1.175354878903023,1.1091444118938365,1.175354878903023
sqlite,1,0,1,q5,2.6666666666666665,527,0.64,0.7151797257645242,0.7675683637215734,0.0,0.0,0.34,1.6082512105582785,0.40903171202048494,1.3646944723045564,1.289294049938541,1.2708480817644785,1.1300430726250157
sqlite,2,0,1,q5,3.0,549,0.66,0.3167211481122909,0.47300962427105614,0.0,0.0,0.32,1.6265739917572728,0.35082086600707696,1.0113555542396835,1.1714487592964482,1.0113555542396835,1.1714487592964482
sqlite,3,0,1,q5,3.0,515,0.62,0.5254863440240397,0.6268576582066016,0.0,0.0,0.38,1.6271417020045218,0.4187841890625764,1.2915558965413996,1.1195113114892319,1.2915558965413996,1.1195113114892319
sqlite,4,0,1,q5,2.6666666666666665,553,0.58,0.43608750458540907,0.5213014110892868,0.0,0.0,0.3,1.6333800205775297,0.3803709065144326,1.2385126333463228,1.2776477146657932,1.1396379785818465,1.1288521616426939
